Date,Price,Open,High,Low,Vol.,Change %
11/24/2022,"3,961.99","3,948.78","3,976.43","3,947.16",21.29M,0.39%
11/23/2022,"3,946.44","3,938.57","3,950.14","3,925.37",28.05M,0.42%
11/22/2022,"3,929.90","3,903.80","3,935.55","3,901.14",32.16M,0.53%
11/21/2022,"3,909.28","3,915.66","3,921.95","3,896.71",,-0.40%
11/18/2022,"3,924.84","3,889.56","3,940.94","3,889.56",43.43M,1.20%
11/17/2022,"3,878.42","3,890.17","3,910.17","3,842.87",32.44M,-0.11%
11/16/2022,"3,882.78","3,911.68","3,918.97","3,873.34",29.79M,-0.83%
11/15/2022,"3,915.09","3,896.29","3,932.23","3,889.25",31.09M,0.71%
11/14/2022,"3,887.51","3,873.51","3,915.67","3,872.21",27.38M,0.49%
11/11/2022,"3,868.50","3,873.07","3,890.25","3,859.50",38.27M,0.57%
11/10/2022,"3,846.56","3,717.69","3,849.14","3,706.79",44.83M,3.18%
11/9/2022,"3,728.03","3,735.47","3,739.65","3,708.51",30.77M,-0.30%
11/8/2022,"3,739.28","3,704.20","3,741.29","3,695.17",27.40M,0.82%
11/7/2022,"3,708.80","3,682.46","3,719.21","3,667.98",34.45M,0.55%
11/4/2022,"3,688.33","3,601.92","3,711.21","3,601.92",50.02M,2.65%
11/3/2022,"3,593.18","3,596.07","3,597.58","3,563.42",28.57M,-0.80%
11/2/2022,"3,622.01","3,653.42","3,675.66","3,621.18",29.43M,-0.79%
11/1/2022,"3,651.02","3,628.60","3,680.24","3,628.60",27.27M,0.93%
10/31/2022,"3,617.54","3,622.55","3,631.23","3,606.97",29.74M,0.13%
10/28/2022,"3,613.02","3,594.60","3,615.91","3,558.55",29.71M,0.24%
10/27/2022,"3,604.51","3,604.95","3,618.73","3,565.36",38.26M,-0.02%
10/26/2022,"3,605.31","3,586.47","3,609.72","3,560.43",31.45M,0.55%
10/25/2022,"3,585.58","3,536.92","3,585.58","3,511.52",29.93M,1.64%
10/24/2022,"3,527.79","3,488.78","3,552.74","3,473.21",31.33M,1.47%
10/21/2022,"3,476.63","3,477.27","3,488.01","3,422.93",38.82M,-0.46%
10/20/2022,"3,492.85","3,467.57","3,501.58","3,451.75",29.62M,0.62%
10/19/2022,"3,471.24","3,466.71","3,498.20","3,458.17",23.23M,0.21%
10/18/2022,"3,463.83","3,449.95","3,511.06","3,449.95",32.67M,0.64%
10/17/2022,"3,441.64","3,382.12","3,456.81","3,369.55",26.49M,1.77%
10/14/2022,"3,381.73","3,371.71","3,452.99","3,371.71",34.86M,0.57%
10/13/2022,"3,362.40","3,321.18","3,373.11","3,256.32",35.40M,0.93%
10/12/2022,"3,331.53","3,339.50","3,365.85","3,315.54",27.90M,-0.26%
10/11/2022,"3,340.35","3,352.54","3,356.41","3,310.41",28.87M,-0.49%
10/10/2022,"3,356.88","3,367.86","3,389.94","3,338.36",24.64M,-0.55%
10/7/2022,"3,375.46","3,419.31","3,434.13","3,373.65",28.23M,-1.69%
10/6/2022,"3,433.45","3,455.28","3,476.67","3,419.80",26.75M,-0.41%
10/5/2022,"3,447.72","3,479.24","3,480.45","3,427.70",30.01M,-1.05%
10/4/2022,"3,484.48","3,359.71","3,484.48","3,359.71",37.03M,4.26%
10/3/2022,"3,342.17","3,309.02","3,348.45","3,259.75",31.50M,0.72%
9/30/2022,"3,318.20","3,282.00","3,324.24","3,279.98",39.52M,1.19%
9/29/2022,"3,279.04","3,332.80","3,332.80","3,249.57",40.55M,-1.69%
9/28/2022,"3,335.30","3,322.59","3,339.55","3,259.33",43.67M,0.20%
9/27/2022,"3,328.65","3,349.94","3,396.08","3,328.65",38.82M,-0.42%
9/26/2022,"3,342.56","3,343.20","3,377.61","3,325.20",32.22M,-0.18%
9/23/2022,"3,348.60","3,427.14","3,427.14","3,330.10",37.88M,-2.29%
9/22/2022,"3,427.14","3,476.23","3,494.38","3,427.06",29.85M,-1.85%
9/21/2022,"3,491.87","3,461.30","3,494.41","3,425.70",28.27M,0.71%
9/20/2022,"3,467.09","3,500.42","3,537.91","3,459.94",35.42M,-0.93%
9/19/2022,"3,499.49","3,499.78","3,520.11","3,451.51",24.09M,-0.03%
9/16/2022,"3,500.41","3,532.20","3,532.20","3,482.40",64.57M,-1.17%
9/15/2022,"3,541.79","3,566.47","3,586.36","3,532.08",42.87M,-0.72%
9/14/2022,"3,567.56","3,583.88","3,591.37","3,545.80",29.90M,-0.52%
9/13/2022,"3,586.18","3,649.24","3,683.02","3,586.08",34.99M,-1.65%
9/12/2022,"3,646.51","3,579.18","3,657.23","3,579.18",36.11M,2.14%
9/9/2022,"3,570.04","3,512.71","3,581.57","3,512.71",36.56M,1.64%
9/8/2022,"3,512.38","3,510.91","3,524.64","3,454.60",34.83M,0.29%
9/7/2022,"3,502.09","3,495.02","3,510.90","3,462.86",28.57M,0.06%
9/6/2022,"3,500.14","3,490.16","3,521.10","3,471.89",25.36M,0.29%
9/5/2022,"3,490.01","3,532.77","3,532.77","3,445.84",26.17M,-1.53%
9/2/2022,"3,544.38","3,466.66","3,548.85","3,466.66",29.98M,2.54%
9/1/2022,"3,456.70","3,514.49","3,514.49","3,448.49",27.77M,-1.72%
8/31/2022,"3,517.25","3,571.97","3,583.05","3,517.25",41.30M,-1.25%
8/30/2022,"3,561.92","3,576.89","3,629.50","3,545.92",30.13M,-0.24%
8/29/2022,"3,570.51","3,600.48","3,600.48","3,537.24",23.78M,-0.92%
8/26/2022,"3,603.68","3,682.02","3,706.49","3,593.48",32.30M,-1.93%
8/25/2022,"3,674.54","3,670.57","3,703.52","3,659.75",28.98M,0.19%
8/24/2022,"3,667.46","3,651.05","3,672.79","3,626.41",22.41M,0.41%
8/23/2022,"3,652.52","3,654.04","3,674.73","3,635.27",29.74M,-0.16%
8/22/2022,"3,658.22","3,724.14","3,724.14","3,643.72",31.46M,-1.93%
8/19/2022,"3,730.32","3,772.25","3,772.25","3,725.55",31.65M,-1.25%
8/18/2022,"3,777.38","3,755.85","3,779.77","3,748.89",21.45M,0.57%
8/17/2022,"3,756.06","3,806.93","3,813.04","3,751.57",25.85M,-1.29%
8/16/2022,"3,805.22","3,796.04","3,819.12","3,786.59",23.98M,0.41%
8/15/2022,"3,789.62","3,782.19","3,794.90","3,763.03",21.43M,0.34%
8/12/2022,"3,776.81","3,760.58","3,784.19","3,756.19",26.90M,0.53%
8/11/2022,"3,757.05","3,761.45","3,771.20","3,741.25",23.95M,0.21%
8/10/2022,"3,749.35","3,714.40","3,757.89","3,694.88",25.96M,0.91%
8/9/2022,"3,715.37","3,752.26","3,755.32","3,711.55",22.62M,-1.11%
8/8/2022,"3,757.22","3,737.31","3,778.99","3,737.31",24.56M,0.85%
8/5/2022,"3,725.39","3,751.51","3,757.48","3,716.39",29.12M,-0.78%
8/4/2022,"3,754.60","3,733.52","3,781.57","3,733.52",31.19M,0.59%
8/3/2022,"3,732.54","3,687.99","3,734.79","3,681.89",29.49M,1.30%
8/2/2022,"3,684.63","3,701.63","3,701.63","3,664.28",29.91M,-0.59%
8/1/2022,"3,706.62","3,705.76","3,730.98","3,699.77",29.98M,-0.04%
7/29/2022,"3,708.10","3,662.70","3,720.16","3,662.70",47.39M,1.53%
7/28/2022,"3,652.20","3,623.29","3,652.87","3,594.58",39.51M,1.23%
7/27/2022,"3,607.78","3,583.39","3,617.50","3,583.39",28.85M,0.91%
7/26/2022,"3,575.36","3,602.01","3,604.37","3,571.84",26.05M,-0.80%
7/25/2022,"3,604.16","3,592.33","3,619.52","3,572.75",28.37M,0.21%
7/22/2022,"3,596.49","3,589.96","3,625.16","3,577.81",37.70M,0.00%
7/21/2022,"3,596.51","3,581.72","3,611.10","3,554.69",50.38M,0.31%
7/20/2022,"3,585.24","3,583.86","3,605.32","3,546.46",40.31M,-0.06%
7/19/2022,"3,587.44","3,498.43","3,593.78","3,473.64",38.04M,2.15%
7/18/2022,"3,511.86","3,480.36","3,532.61","3,480.36",33.83M,1.00%
7/15/2022,"3,477.20","3,402.68","3,480.85","3,394.02",42.29M,2.37%
7/14/2022,"3,396.61","3,449.34","3,454.26","3,372.12",44.51M,-1.66%
7/13/2022,"3,453.97","3,481.82","3,481.82","3,409.54",30.82M,-0.95%
7/12/2022,"3,487.05","3,457.15","3,489.37","3,425.59",43.01M,0.44%
7/11/2022,"3,471.69","3,485.00","3,492.11","3,440.14",25.93M,-0.99%
7/8/2022,"3,506.55","3,484.71","3,510.86","3,454.51",30.50M,0.52%
7/7/2022,"3,488.50","3,443.25","3,493.94","3,443.25",37.43M,1.95%
7/6/2022,"3,421.84","3,368.51","3,438.96","3,368.51",37.70M,1.85%
7/5/2022,"3,359.83","3,464.39","3,477.04","3,357.06",40.51M,-2.68%
7/4/2022,"3,452.42","3,458.99","3,476.63","3,445.39",28.14M,0.12%
